Frame,EAR
0,1.169308806581402
1,1.2671852312597793
2,1.1496596976379365
3,1.064808267466377
4,1.0302608505096513
5,1.0571343373539068
6,1.0099158136329816
7,0.9792010648890744
8,0.9543628688057617
9,0.9796257831322714
10,0.9484468627384743
11,0.9749294924540474
12,1.0065482297494268
13,1.009566730051513
14,1.0250324568804274
15,0.9730072400128144
16,1.0514142778090751
17,1.0652454319682159
18,0.93563191448901
19,0.9694294563142212
20,1.006972192865091
21,1.0091275138163358
22,0.9651836728245151
23,0.9978712368164406
24,0.9677032033883743
25,0.9466234724113838
26,1.0565188971280455
27,1.0786467584090027
28,1.0324029260099639
29,0.9761258939442722
30,0.9797035608573401
31,0.9576111054820593
32,0.9628016419037853
33,0.9692309233500653
34,1.003701961029119
35,0.9465398539123933
36,0.9999644157574804
37,1.1079507992285387
38,1.0952775159730626
39,1.0841572911954218
40,1.1467197808744587
41,1.2192096434444388
42,1.2114814403323924
43,1.2232090844471641
44,1.1932873820811445
45,1.1692160820083903
46,1.2432780413694506
47,1.4253501969397706
48,1.5659492263678487
49,1.5618415196885855
50,1.5294149130928647
51,1.5766265201594394
52,1.4943865148405098
53,1.4713476918492028
54,1.448873623508853
55,1.4275027338120838
56,1.3558173557096669
57,1.406923777570311
58,1.4301947325758397
59,1.4424346893062685
60,1.4369250188258524
